,department id:2,department id:3,department id:4,department id:5,department id:6,department id:7,department id:8,department id:9,department id:10,department id:11,department id:12
Hampton,"(38.8540535, -77.28582764)","(37.047966, -76.39997101)","(37.047966, -76.39997101)","(37.047966, -76.39997101)","(37.05174255, -76.40163422)","(37.047966, -76.39997101)",,"(37.047966, -76.39997101)","(37.047966, -76.39997101)",,
Lakewood,"(40.09635925, -74.21524048)","(41.54011536, -80.52366638)","(41.48466873, -81.77624512)","(40.15167236, -82.84295654)","(41.54011536, -80.52366638)","(41.54011536, -80.52366638)",,"(40.09635925, -74.21524048)","(40.09635925, -74.21524048)","(40.52737045, -81.26895905)","(41.54011536, -80.52366638)"
West Covina,"(34.06864929, -117.9379044)","(34.07167816, -117.9440765)","(34.06787491, -117.9273758)","(34.06787491, -117.9273758)","(34.07165146, -117.9417572)","(34.06845474, -117.9286804)","(34.06787491, -117.9273758)","(34.06787491, -117.9273758)","(34.0700798, -117.9371948)",,
Troy,"(42.73004913, -73.68952942)","(42.5804596, -83.15601349)","(42.5804596, -83.15601349)","(42.5804596, -83.15601349)","(42.73004913, -73.68952942)","(42.73004913, -73.68952942)","(42.5804596, -83.15601349)","(42.73004913, -73.68952942)","(42.5804596, -83.15601349)",,
Redmond,"(47.64754486, -122.1150513)","(47.68619156, -122.1272049)","(47.68619156, -122.1272049)","(47.67179108, -122.1336288)","(47.68619156, -122.1272049)","(47.68619156, -122.1272049)",,,"(47.67527008, -122.123558)",,
Federal Way,"(47.30304337, -122.3528137)","(47.30304337, -122.3528137)","(47.30304337, -122.3528137)","(47.30304337, -122.3528137)","(47.30304337, -122.3528137)","(47.30304337, -122.3528137)",,,,,
North Hills,"(34.23563004, -118.4847031)","(40.58462524, -122.4049454)","(40.58462524, -122.4049454)","(34.23563004, -118.4847031)","(34.23563004, -118.4847031)","(40.58462524, -122.4049454)",,,,"(34.23563004, -118.4847031)",
Frankfort,"(38.11861801, -84.96742249)","(38.11861801, -84.96742249)","(38.20550919, -84.88083649)","(38.11861801, -84.96742249)","(38.20597076, -84.87991333)","(38.20550919, -84.88083649)",,,"(38.11861801, -84.96742249)",,
Cordova,"(35.15979385, -89.77548218)","(35.1572609, -89.78952789)","(35.15819168, -89.78479767)","(35.15819168, -89.78479767)","(35.15819168, -89.78479767)","(35.15819168, -89.78479767)",,,,"(35.16332626, -89.81238556)",
Baltimore,"(39.36317062, -76.70053101)","(39.35533142, -76.60994721)","(39.28225327, -76.68872833)","(39.37210465, -76.60986328)","(39.27495956, -76.61506653)","(39.29141998, -76.51338959)","(39.29190445, -76.58295441)","(39.29190445, -76.58295441)","(39.29260635, -76.56642151)","(39.35533142, -76.60994721)","(39.32117081, -76.61475372)"
San Francisco,"(37.80408478, -122.4188538)","(37.79023361, -122.4237061)","(37.80393982, -122.4198303)","(37.80393982, -122.4198303)","(37.7617569, -122.4713516)","(37.75743866, -122.4193726)",,"(37.79001999, -122.4195938)","(37.80393982, -122.4198303)","(37.75743866, -122.4193726)","(37.75743866, -122.4193726)"
Clovis,"(36.80200195, -119.7001572)","(36.80200195, -119.7001572)","(36.82690048, -119.6776962)","(36.82690048, -119.6776962)","(36.80200195, -119.7001572)","(36.82690048, -119.6776962)",,"(36.84196854, -119.6997757)",,,"(36.82690048, -119.6776962)"
Pomona,"(34.07833099, -117.7349777)","(34.04991913, -117.7161026)","(34.07872772, -118.2033234)","(34.10239792, -117.7304535)","(34.07872772, -118.2033234)","(34.07872772, -118.2033234)","(34.07833099, -117.7349777)","(34.04991913, -117.7161026)","(34.04991913, -117.7161026)",,"(34.04991913, -117.7161026)"
Saint Peters,"(38.79064941, -90.61938477)","(38.76436234, -90.64061737)","(38.74451828, -90.60464478)","(38.79064941, -90.61938477)","(38.79064941, -90.61938477)","(38.79064941, -90.61938477)",,"(38.79064941, -90.61938477)","(38.7669754, -90.62202454)",,
Greeley,"(40.38983154, -104.7089157)","(40.38999558, -104.708847)","(40.38983154, -104.7089157)","(40.41231918, -104.6923523)","(40.41231918, -104.6923523)","(39.60168457, -107.0304413)",,"(40.41231918, -104.6923523)","(40.41231918, -104.6923523)",,
Bayonne,"(39.93740463, -74.36590576)","(40.66480255, -74.11959076)","(40.66480255, -74.11959076)","(40.66480255, -74.11959076)","(40.66480255, -74.11959076)","(40.66480255, -74.11959076)",,,,,
Tulare,"(36.20638657, -119.3568192)","(36.20911789, -119.3270798)","(36.20605087, -119.3646164)","(36.20638657, -119.3568192)","(36.20960617, -119.3726807)","(36.20911789, -119.3270798)",,"(36.20911789, -119.3270798)","(36.20638657, -119.3568192)",,
Joliet,"(41.52939987, -88.13760376)","(41.56850815, -87.80760956)","(41.52939987, -88.13760376)","(41.52939987, -88.13760376)","(41.53393173, -88.125)","(41.52939987, -88.13760376)",,"(41.77999115, -87.86507416)","(41.81592178, -87.82077026)",,
Manati,"(18.43013001, -66.48731232)","(18.43013001, -66.48731232)","(18.43013001, -66.48731232)","(18.43013001, -66.48731232)","(18.43013001, -66.48731232)","(18.43013001, -66.48731232)",,,,,
Opa Locka,"(25.89955711, -80.21491242)","(25.94878006, -80.28707886)","(27.08105278, -82.22888947)","(25.89955711, -80.21491242)","(25.94878006, -80.28707886)","(25.94878006, -80.28707886)","(25.8999691, -80.24975586)","(25.94878006, -80.28707886)","(25.94878006, -80.28707886)",,
Englewood,"(39.62960815, -104.9947433)","(39.62960815, -104.9947433)","(39.6530571, -105.0252762)","(39.62960815, -104.9947433)","(39.6549263, -104.9978943)","(39.6530571, -105.0252762)",,"(39.62960815, -104.9947433)","(39.62960815, -104.9947433)",,
Ventura,"(34.2395134, -119.1972198)","(34.17469406, -118.8528976)","(34.17469406, -118.8528976)","(34.17469406, -118.8528976)","(34.2395134, -119.1972198)","(34.17469406, -118.8528976)",,"(34.36475754, -119.3069458)","(34.36475754, -119.3069458)","(34.2395134, -119.1972198)",
Cicero,"(41.86019898, -87.76747131)","(41.86019898, -87.76747131)","(41.86019898, -87.76747131)","(41.86019898, -87.76747131)","(41.86019898, -87.76747131)","(41.86019898, -87.76747131)",,,,,
National City,"(32.68085861, -117.108902)","(32.68085861, -117.108902)","(32.68085861, -117.108902)","(32.67300797, -117.0935211)","(32.67300797, -117.0935211)","(32.68085861, -117.108902)",,,,,"(32.68085861, -117.108902)"
Montebello,"(34.03588486, -118.0801849)",,"(34.00405884, -118.1138687)","(34.01502609, -118.10672)","(34.00405884, -118.1138687)","(34.00405884, -118.1138687)",,,"(34.00405884, -118.1138687)",,
El Monte,"(34.19438171, -118.1662979)","(34.09411621, -118.0958557)","(34.09411621, -118.0958557)","(34.09411621, -118.0958557)","(34.07189179, -118.0138855)","(32.80168915, -116.9785614)",,,"(34.07189179, -118.0138855)",,
Staten Island,"(40.54027557, -74.16858673)","(40.54027557, -74.16858673)","(40.54027557, -74.16858673)","(40.56678009, -74.11734772)","(40.58441544, -74.15991974)","(40.56678009, -74.11734772)",,,"(40.56678009, -74.11734772)",,
Chesapeake,"(36.70524979, -76.2432785)","(36.88753128, -76.24180603)","(36.70524979, -76.2432785)","(36.8747406, -76.25379944)","(36.70524979, -76.2432785)","(36.7805481, -76.2246933)",,"(36.70524979, -76.2432785)","(36.7805481, -76.2246933)","(36.70524979, -76.2432785)",
Saginaw,"(43.49697113, -83.94857788)","(43.40317917, -83.9552536)","(42.37821198, -83.03714752)","(43.49697113, -83.94857788)","(43.36036682, -84.13088989)","(43.29983521, -83.91819763)",,"(43.40317917, -83.9552536)","(43.40317917, -83.9552536)",,
Pittsfield,"(30.22239304, -95.88526154)","(42.45111084, -73.25260162)","(42.45938873, -73.22673035)","(30.22239304, -95.88526154)","(42.45938873, -73.22673035)","(42.45111084, -73.25260162)",,,"(42.45938873, -73.22673035)",,"(42.45938873, -73.22673035)"
South El Monte,"(34.0472908, -118.0503235)","(34.0472908, -118.0503235)","(34.04790878, -118.0644455)","(34.04491425, -118.0166092)","(34.0500412, -118.0595932)","(34.0472908, -118.0503235)",,,,,
Apex,"(35.72903824, -78.86639404)","(35.73103714, -78.85575104)","(35.73103714, -78.85575104)","(35.73103714, -78.85575104)","(35.73103714, -78.85575104)","(35.72903824, -78.86639404)","(35.73103714, -78.85575104)","(35.72903824, -78.86639404)",,,
Jacksonville,"(30.35342217, -81.51309204)","(34.74834824, -77.42848206)","(30.35342217, -81.51309204)","(30.35342217, -81.51309204)","(30.19924736, -81.72353363)","(30.35342217, -81.51309204)","(30.19924736, -81.72353363)","(30.35342217, -81.51309204)","(30.19924736, -81.72353363)",,
Oceanside,"(33.1927948, -117.3563385)","(32.68920898, -97.39685059)","(33.22548676, -117.3070679)","(33.2044487, -117.2939682)","(33.20178986, -117.3411407)","(33.20246124, -117.3142853)","(33.21950913, -117.2616196)","(33.21642685, -117.2706528)","(33.20022965, -117.3453522)","(33.21295548, -117.2749176)",
New Brunswick,"(40.48884964, -74.44367218)","(40.48884964, -74.44367218)","(40.48884964, -74.44367218)","(40.49235535, -74.44373322)","(40.49235535, -74.44373322)","(40.57960892, -74.43974304)",,"(40.48884964, -74.44367218)","(40.48884964, -74.44367218)",,
Porterville,"(36.06955338, -119.0176849)","(36.16730118, -119.083107)","(36.16730118, -119.083107)","(36.06955338, -119.0176849)","(36.06955338, -119.0176849)","(36.05351639, -119.0251923)",,"(36.06955338, -119.0176849)","(36.06955338, -119.0176849)",,
Jamaica,"(40.70170975, -73.80841827)","(40.70835114, -73.78101349)","(40.70835114, -73.78101349)","(40.70835114, -73.78101349)","(40.70252991, -73.8146286)","(40.70177841, -73.80841827)","(40.70252991, -73.8146286)","(40.70252991, -73.8146286)","(40.70252991, -73.8146286)",,
Fontana,"(34.09395981, -117.4498901)","(34.07454681, -117.4704208)","(34.07454681, -117.4704208)","(34.07454681, -117.4704208)","(34.15697479, -117.4821548)","(34.07454681, -117.4704208)","(34.15697479, -117.4821548)","(34.15697479, -117.4821548)","(34.15697479, -117.4821548)","(34.15697479, -117.4821548)",
Rome,"(43.21662521, -75.45603943)","(43.19341278, -75.4222641)","(43.21662521, -75.45603943)","(43.21662521, -75.45603943)","(43.21662521, -75.45603943)","(43.21662521, -75.45603943)",,,"(43.21662521, -75.45603943)",,"(43.21662521, -75.45603943)"
Mentor,"(41.71363831, -81.36167908)","(41.6532898, -81.3658371)","(41.6532898, -81.3658371)","(41.6532898, -81.3658371)","(41.6532898, -81.3658371)","(41.6532898, -81.3658371)",,"(41.72520447, -81.29482269)",,,"(41.6532898, -81.3658371)"
Orlando,"(28.55625916, -81.27587128)","(28.55625916, -81.27587128)","(28.51626968, -81.30583191)","(28.55625916, -81.27587128)","(28.57764053, -81.44708252)","(28.57764053, -81.44708252)","(28.55625916, -81.27587128)","(28.55625916, -81.27587128)","(28.55625916, -81.27587128)",,
Decatur,"(33.76404572, -84.25080872)","(33.70272064, -84.26963043)","(32.824646, -83.55662537)","(33.70272064, -84.26963043)","(33.70272064, -84.26963043)","(33.76404572, -84.25080872)",,"(33.76404572, -84.25080872)","(33.76404572, -84.25080872)",,
Kaneohe,"(33.88234711, -118.0990067)","(33.88234711, -118.0990067)","(33.88234711, -118.0990067)","(21.41555023, -157.803894)","(21.41555023, -157.803894)","(21.41555023, -157.803894)",,"(21.41555023, -157.803894)","(21.41555023, -157.803894)",,
Fort Worth,"(32.73230743, -97.47290802)","(32.8013916, -97.3302536)","(32.73230743, -97.47290802)","(32.8013916, -97.3302536)","(32.8013916, -97.3302536)","(32.8013916, -97.3302536)","(32.64859009, -97.37162018)","(32.73230743, -97.47290802)","(32.73230743, -97.47290802)",,"(32.73230743, -97.47290802)"
Mount Pleasant,"(43.60359955, -84.769104)","(43.60359955, -84.769104)","(43.61513138, -84.60793304)","(43.61513138, -84.60793304)","(43.60342026, -84.79521942)","(43.61513138, -84.60793304)","(43.61513138, -84.60793304)","(43.60348129, -84.78716278)",,,"(43.61513138, -84.60793304)"
Lawrence,"(42.41581345, -71.21389771)","(42.28635407, -71.65921783)","(42.71529007, -71.17025757)","(42.71463394, -71.16407776)","(42.71672821, -71.17758942)","(42.71529007, -71.17025757)","(42.71529007, -71.17025757)","(42.71463394, -71.16407776)","(42.71463394, -71.16407776)",,
Austin,"(30.35012245, -97.69873047)","(33.04925156, -96.86225128)","(30.35012245, -97.69873047)","(30.35012245, -97.69873047)","(33.04925156, -96.86225128)","(33.04925156, -96.86225128)",,"(30.21281052, -97.75408936)","(30.20363426, -97.7858963)","(30.35012245, -97.69873047)",
Guaynabo,"(18.37199974, -66.09887695)","(18.37199974, -66.09887695)","(18.37199974, -66.09887695)","(18.37199974, -66.09887695)",,"(18.37199974, -66.09887695)","(18.37199974, -66.09887695)","(18.37199974, -66.09887695)","(18.37199974, -66.09887695)",,
Weslaco,"(26.14579964, -97.95825195)","(26.16252518, -97.98887634)","(26.16252518, -97.98887634)","(26.14579964, -97.95825195)","(26.16252518, -97.98887634)","(26.18472099, -97.99112701)",,"(26.16252518, -97.98887634)","(26.14579964, -97.95825195)","(26.16252518, -97.98887634)",
Chicago Heights,"(41.50521088, -87.64087677)","(41.51544571, -87.64269257)","(41.50521088, -87.64087677)","(41.50755692, -87.53424072)","(41.51544571, -87.64269257)","(41.50521088, -87.64087677)",,"(41.50521088, -87.64087677)","(41.50521088, -87.64087677)",,
Sun Valley,"(34.21546936, -118.3703384)","(34.21546936, -118.3703384)","(34.21546936, -118.3703384)","(34.1510849, -116.2429581)","(34.1510849, -116.2429581)","(34.21546936, -118.3703384)",,"(34.21546936, -118.3703384)","(37.96720505, -122.0621033)",,
Piscataway,"(40.57566834, -74.45444489)",,"(40.57566834, -74.45444489)","(40.58302307, -74.45359802)","(40.57566834, -74.45444489)","(40.58302307, -74.45359802)","(40.57566834, -74.45444489)","(40.57566834, -74.45444489)","(40.57566834, -74.45444489)",,
Winter Park,"(28.60344505, -81.31519318)","(28.57492447, -81.38398743)","(28.58658218, -81.28829193)","(28.57492447, -81.38398743)","(28.60344505, -81.31519318)","(28.60344505, -81.31519318)","(28.60344505, -81.31519318)","(28.60344505, -81.31519318)",,,
Santa Cruz,"(36.97051239, -122.0238266)","(36.97051239, -122.0238266)","(36.97051239, -122.0238266)","(36.97051239, -122.0238266)","(36.97051239, -122.0238266)","(36.97051239, -122.0238266)","(36.96442795, -122.0421371)","(36.96442795, -122.0421371)","(36.97051239, -122.0238266)",,
Sacramento,"(38.48671341, -121.459343)","(38.50247574, -121.4231873)","(38.50247574, -121.4231873)","(38.50247574, -121.4231873)","(38.48671341, -121.459343)","(37.78511429, -122.2878037)",,,"(38.50247574, -121.4231873)",,
San Pablo,"(37.95482636, -122.332962)","(38.00057983, -122.3207321)","(38.00057983, -122.3207321)","(38.00057983, -122.3207321)",,"(37.96690369, -122.3031082)",,,,,
Rosemead,"(33.98826981, -118.0931091)","(34.06577683, -118.0826416)","(34.06577683, -118.0826416)","(34.06577683, -118.0826416)",,"(34.08244705, -118.0733643)",,"(34.06577683, -118.0826416)",,,"(34.06577683, -118.0826416)"
Duluth,"(34.00695419, -84.17649078)","(34.00695419, -84.17649078)","(33.99422836, -84.16246796)","(34.00695419, -84.17649078)","(33.97330093, -84.15103912)","(33.97330093, -84.15103912)","(33.99794388, -84.16478729)","(33.98643494, -84.16007996)",,,
Potomac,"(38.33084488, -77.05139923)","(38.83067703, -77.047966)","(39.00035477, -77.22781372)","(39.05631256, -77.16165924)","(39.05631256, -77.16165924)","(39.05631256, -77.16165924)",,"(39.48036194, -77.78746796)","(39.00035477, -77.22781372)",,"(39.05631256, -77.16165924)"
Pawtucket,"(41.86906815, -71.39208221)","(41.8719368, -71.38621521)","(41.86906815, -71.39208221)","(41.86906815, -71.39208221)","(41.86906815, -71.39208221)","(41.86906815, -71.39208221)",,"(41.86906815, -71.39208221)","(41.86906815, -71.39208221)","(41.8719368, -71.38621521)","(41.86906815, -71.39208221)"
Chapel Hill,"(35.90821838, -79.04585266)","(35.94494247, -79.00052643)","(35.97261047, -79.04127502)","(35.94494247, -79.00052643)","(35.94494247, -79.00052643)","(35.90821838, -79.04585266)",,"(35.90821838, -79.04585266)","(35.90821838, -79.04585266)",,"(35.98715591, -79.06994629)"
Bloomfield,"(40.79833603, -74.19944)","(40.79833603, -74.19944)","(40.79833603, -74.19944)","(40.79833603, -74.19944)","(40.79833603, -74.19944)","(39.9335289, -75.06125641)",,"(40.79833603, -74.19944)","(40.79354096, -74.19637299)",,"(40.79833603, -74.19944)"
Canyon Country,"(33.06914902, -116.5787964)","(33.06927109, -116.5786438)","(34.43691254, -118.4601517)","(34.43691254, -118.4601517)","(34.43691254, -118.4601517)","(33.06927109, -116.5786438)","(33.06927109, -116.5786438)","(33.06927109, -116.5786438)",,,
Levittown,"(40.72494888, -73.52056122)","(40.72494888, -73.52056122)","(40.72494888, -73.52056122)","(40.72494888, -73.52056122)","(40.72494888, -73.52056122)","(40.72494888, -73.52056122)",,"(40.72494888, -73.52056122)",,"(40.72494888, -73.52056122)","(40.72494888, -73.52056122)"
Perth Amboy,"(40.50767136, -74.25473023)",,"(40.50980377, -74.26966858)","(40.50980377, -74.26966858)","(40.50980377, -74.26966858)","(40.50980377, -74.26966858)",,"(40.50980377, -74.26966858)","(40.50980377, -74.26966858)",,
Denton,"(33.20560837, -97.13835907)","(33.20560837, -97.13835907)","(33.06555939, -97.16917419)","(33.20560837, -97.13835907)","(33.21524429, -97.13909149)","(33.21524429, -97.13909149)",,"(33.21981812, -97.1390686)",,,
Costa Mesa,"(33.63584137, -117.9041443)","(33.65791321, -117.9047623)","(33.67670822, -117.9219055)","(33.67670822, -117.9219055)","(33.64860153, -117.9180069)","(33.64226151, -117.9133224)","(33.67670822, -117.9219055)","(33.64226151, -117.9133224)","(33.64226151, -117.9133224)",,
Salem,"(44.98003769, -123.0266647)","(44.93247986, -123.1377563)","(45.0214653, -123.0853043)","(45.04110718, -122.9940643)","(44.97959518, -123.0267334)","(45.01254654, -123.0796127)","(45.04110718, -122.9940643)","(45.06264877, -122.9813309)","(44.94070816, -123.0342712)",,"(44.95619965, -123.0315933)"
Greensboro,"(35.9031601, -79.62404633)","(36.12071228, -79.8476944)","(36.05057144, -79.86255646)","(36.08757019, -79.88663483)","(36.08757019, -79.88663483)","(36.05080414, -79.79826355)",,"(36.08757019, -79.88663483)","(36.08757019, -79.88663483)",,"(36.08757019, -79.88663483)"
Napa,"(38.3181572, -122.2831039)","(38.30201721, -122.1991196)","(38.30201721, -122.1991196)","(38.30201721, -122.1991196)","(38.30201721, -122.1991196)","(38.30201721, -122.1991196)","(38.27954483, -122.2738647)",,"(38.30201721, -122.1991196)",,
Salina,"(38.81181717, -97.72869873)","(38.77223587, -97.61299133)","(38.78660202, -97.78347015)","(38.84167481, -97.64416504)","(38.83726883, -97.6128006)","(38.78660202, -97.78347015)",,"(38.78660202, -97.78347015)","(38.83726883, -97.6128006)",,"(38.83726883, -97.6128006)"
Pittsburg,"(38.02914047, -121.8859177)","(38.02914047, -121.8859177)","(38.0260582, -121.8597946)","(38.02914047, -121.8859177)","(38.02914047, -121.8859177)","(38.02914047, -121.8859177)",,"(38.02914047, -121.8859177)",,,
Ogden,"(41.23968124, -111.9685974)","(41.27436829, -111.9628677)","(41.27436829, -111.9628677)","(41.27436829, -111.9628677)","(41.23968124, -111.9685974)","(41.27436829, -111.9628677)","(41.23582459, -111.968811)","(41.27436829, -111.9628677)","(41.27436829, -111.9628677)",,
Lithonia,"(33.71007919, -84.11247253)","(33.71007919, -84.11247253)","(33.71007919, -84.11247253)","(33.71007919, -84.11247253)","(33.71007919, -84.11247253)","(33.71007919, -84.11247253)",,,,,
Poway,"(32.95637131, -117.0283203)",,"(32.95658493, -117.0461884)","(32.95637131, -117.0283203)",,"(32.95658493, -117.0461884)",,"(33.73330307, -117.7628174)","(33.73330307, -117.7628174)",,
Hilliard,"(40.0221138, -83.11051941)","(41.38765335, -82.08874512)","(40.03102875, -83.13726807)","(41.46785736, -81.85174561)","(40.03102875, -83.13726807)","(40.03102875, -83.13726807)",,,"(40.04463959, -83.16507721)",,
Raleigh,"(35.78026962, -78.61565399)","(35.77667999, -78.68785095)","(35.81158066, -78.59866333)","(35.81178284, -78.5975647)","(35.78026962, -78.61565399)","(35.81178284, -78.5975647)",,"(35.77667999, -78.68785095)","(35.81178284, -78.5975647)","(35.78998184, -78.61327362)",
Baytown,"(29.73701477, -94.96875763)","(29.73701477, -94.96875763)","(29.73701477, -94.96875763)","(29.73701477, -94.96875763)","(29.73701477, -94.96875763)","(29.73701477, -94.96875763)",,"(29.78860855, -95.04446411)","(29.73701477, -94.96875763)",,
Highland,"(34.13581085, -117.1929703)","(34.13591385, -117.2595673)","(34.12934113, -117.1800232)","(34.13591385, -117.2595673)","(34.13581085, -117.1929703)","(34.12934113, -117.1800232)",,,"(34.1289711, -117.1792984)",,
York,"(39.95258331, -76.77069855)","(39.95468903, -76.65161133)","(39.95970917, -76.63762665)","(39.95970917, -76.63762665)","(39.95970917, -76.63762665)","(39.95468903, -76.65161133)","(39.96356964, -76.76670837)","(39.96356964, -76.76670837)","(39.95335007, -76.76399994)","(39.95331574, -76.64919281)",
Fayetteville,"(35.06275177, -79.00574493)","(35.06275177, -79.00574493)","(35.06275177, -79.00574493)","(35.06275177, -79.00574493)","(35.06275177, -79.00574493)","(35.06275177, -79.00574493)",,"(35.06275177, -79.00574493)","(35.06275177, -79.00574493)",,
Goose Creek,"(32.98229599, -80.03636932)","(32.979702, -80.03579712)","(32.98229599, -80.03636932)","(32.979702, -80.03579712)","(32.979702, -80.03579712)","(32.96281815, -80.01170349)",,,,,
Manchester,"(41.7712059, -72.52085114)","(42.93608093, -85.52552033)","(41.7712059, -72.52085114)","(41.7712059, -72.52085114)","(41.7712059, -72.52085114)","(41.7712059, -72.52085114)",,"(41.7712059, -72.52085114)",,,"(41.7712059, -72.52085114)"
Carol Stream,"(41.89396668, -88.09660339)","(41.89396668, -88.09660339)","(41.89396668, -88.09660339)","(41.89396668, -88.09660339)","(41.89396668, -88.09660339)","(41.89396668, -88.09660339)","(41.89396668, -88.09660339)","(41.89396668, -88.09660339)",,,
West Chester,"(39.96376801, -75.60626221)","(39.96621323, -75.53662109)","(39.98081207, -75.78192139)","(39.96343231, -75.59877014)","(39.98681259, -75.54330444)","(39.96141434, -75.60319519)","(39.96376801, -75.60626221)","(39.96376801, -75.60626221)","(39.96376801, -75.60626221)","(39.96621323, -75.53662109)",
Littleton,"(39.522995, -104.9482193)","(39.522995, -104.9482193)","(39.522995, -104.9482193)","(39.522995, -104.9482193)","(39.54880905, -104.9422302)","(39.54880905, -104.9422302)","(39.522995, -104.9482193)",,"(39.522995, -104.9482193)",,
Canoga Park,"(38.6803894, -120.9727783)",,"(34.22432709, -118.5975876)","(34.15390396, -118.5961914)","(38.6803894, -120.9727783)","(34.22432709, -118.5975876)",,,,,
Wayne,"(39.96281815, -75.05174255)","(40.92333984, -74.27801514)","(40.92333984, -74.27801514)","(40.92333984, -74.27801514)","(40.95141602, -74.22407532)","(40.92333984, -74.27801514)","(40.95141602, -74.22407532)","(40.95141602, -74.22407532)",,,
La Habra,"(38.28607559, -122.3601685)",,"(33.92438507, -117.9593506)","(33.92438507, -117.9593506)","(33.92438507, -117.9593506)","(33.92438507, -117.9593506)",,"(33.92438507, -117.9593506)",,,
Hyattsville,"(37.6567688, -84.42897034)","(33.06581879, -97.36239624)","(39.00483322, -76.96875763)","(38.98765183, -76.98097229)","(38.98765183, -76.98097229)","(38.98765183, -76.98097229)","(38.98764038, -76.95479584)","(38.98939514, -76.97332001)","(38.98765183, -76.98097229)","(39.00483322, -76.96875763)",
Williamsport,"(41.33689117, -76.91746521)","(41.24406052, -77.00766754)","(41.24406052, -77.00766754)","(41.24406052, -77.00766754)",,"(41.24406052, -77.00766754)",,,,"(41.24406052, -77.00766754)",
Plainfield,"(41.89978409, -87.94304657)","(41.60863876, -88.20204163)","(40.61737061, -74.41967773)","(40.61737061, -74.41967773)","(40.61737061, -74.41967773)","(40.61737061, -74.41967773)",,"(41.60863876, -88.20204163)","(40.61737061, -74.41967773)",,
Louisville,"(38.17819977, -85.76452637)","(38.18265152, -85.75534821)","(38.18265152, -85.75534821)","(38.11861038, -85.79914856)","(38.15280914, -85.76470184)","(38.18265152, -85.75534821)","(38.17819977, -85.76452637)","(38.17819977, -85.76452637)","(38.24356461, -85.79820252)",,
Palmdale,"(34.58023834, -118.0654831)","(34.5802269, -118.0599518)","(34.54700089, -118.0638199)","(34.5802269, -118.0599518)","(34.58024216, -118.0661697)","(34.58024216, -118.0661697)",,"(34.5802269, -118.0599518)",,,
Endicott,"(42.07463837, -76.1240387)","(42.07463837, -76.1240387)","(41.15262985, -73.94875336)","(42.08674622, -76.14820862)","(42.0689621, -76.14187622)","(42.0689621, -76.14187622)",,"(42.11167526, -75.95153809)",,,
Ithaca,"(42.43708038, -76.48168945)","(33.66726303, -118.0185242)","(42.43708038, -76.48168945)","(42.43708038, -76.48168945)","(42.43708038, -76.48168945)","(42.43708038, -76.48168945)","(42.43708038, -76.48168945)","(42.43708038, -76.48168945)",,"(42.43708038, -76.48168945)",
Morganton,"(35.74468994, -81.68730164)","(35.74468994, -81.68730164)","(35.74468994, -81.68730164)","(35.74468994, -81.68730164)",,"(35.8787117, -81.79481506)",,,,,
North Richland Hills,"(32.84292221, -97.22615814)","(32.84292221, -97.22615814)","(32.84292221, -97.22615814)","(32.84292221, -97.22615814)","(32.84292221, -97.22615814)","(32.85256958, -97.22425079)","(32.85256958, -97.22425079)","(32.84292221, -97.22615814)","(32.84292221, -97.22615814)",,
Kent,"(47.39371109, -122.2228317)","(47.39371109, -122.2228317)","(47.39371109, -122.2228317)","(47.39371109, -122.2228317)","(47.39371109, -122.2228317)","(47.39371109, -122.2228317)",,"(47.39371109, -122.2228317)","(47.39371109, -122.2228317)","(47.39371109, -122.2228317)","(47.39371109, -122.2228317)"
East Brunswick,"(40.41255188, -74.41832733)","(40.41255188, -74.41832733)","(40.41255188, -74.41832733)","(40.41255188, -74.41832733)","(40.41255188, -74.41832733)","(40.41255188, -74.41832733)",,,,,
Valrico,"(27.9327755, -82.22817993)","(27.92110634, -82.23256683)","(27.98934555, -82.25298309)","(27.92110634, -82.23256683)","(27.9327755, -82.22817993)","(27.98934555, -82.25298309)",,"(27.98934555, -82.25298309)",,"(27.9327755, -82.22817993)",
Davis,"(38.54666138, -121.7412109)","(38.54666138, -121.7412109)","(38.54666138, -121.7412109)","(38.03938675, -121.3319702)","(39.83169174, -120.4956055)","(38.53100205, -121.756752)",,"(38.54666138, -121.7412109)",,,
Brandon,"(27.91247559, -82.3192749)","(27.91247559, -82.3192749)","(27.91247559, -82.3192749)","(27.91247559, -82.3192749)","(27.91247559, -82.3192749)","(27.91247559, -82.3192749)","(27.91247559, -82.3192749)","(27.91247559, -82.3192749)",,,"(27.91247559, -82.3192749)"
El Centro,"(32.79295349, -115.5588074)","(32.79295349, -115.5588074)","(32.79295349, -115.5588074)","(32.79295349, -115.5588074)","(32.79741287, -115.5666275)","(32.79295349, -115.5588074)",,"(32.79295349, -115.5588074)","(32.79295349, -115.5588074)",,"(32.79295349, -115.5588074)"
Clarksville,"(36.54824066, -87.37922669)","(36.54824066, -87.37922669)","(36.54824066, -87.37922669)","(36.54824066, -87.37922669)","(36.54824066, -87.37922669)","(36.54824066, -87.37922669)",,,,,
Fairfield,"(39.35150528, -84.54999542)","(38.25131607, -122.0456543)","(38.25131607, -122.0456543)","(39.31881714, -84.49595642)","(39.35150528, -84.54999542)","(39.31198883, -84.49658966)",,"(39.35150528, -84.54999542)","(39.35150528, -84.54999542)","(38.25131607, -122.0456543)",
